dataset_label,variant_label,dataset_root,scan_index,scan_file,hr_path,height,width,num_pixels,scan_mean_dS_rad,scan_std_dS_rad,scan_max_dS_rad
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,63,IN718_test_hr_y_block_106.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_106.npy,128,128,16384,0.008017433807253838,0.002213286003097892,0.012807518243789673
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,64,IN718_test_hr_y_block_113.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_113.npy,128,128,16384,0.00828307680785656,0.0024289421271532774,0.012676539830863476
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,65,IN718_test_hr_y_block_120.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_120.npy,128,128,16384,0.0076598720625042915,0.0019645369611680508,0.012216811999678612
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,66,IN718_test_hr_y_block_159.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_159.npy,128,128,16384,0.007743853144347668,0.002209689700976014,0.012601083144545555
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,67,IN718_test_hr_y_block_161.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_161.npy,128,128,16384,0.006498770788311958,0.0025809681974351406,0.01372411847114563
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,68,IN718_test_hr_y_block_164.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_164.npy,128,128,16384,0.007742513902485371,0.0020847171545028687,0.013047277927398682
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,69,IN718_test_hr_y_block_165.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_165.npy,128,128,16384,0.0077431765384972095,0.002217348897829652,0.013336450792849064
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,70,IN718_test_hr_y_block_177.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_177.npy,128,128,16384,0.007978582754731178,0.0021282481029629707,0.0141349071636796
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,71,IN718_test_hr_y_block_180.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_180.npy,128,128,16384,0.007365763187408447,0.002256799256429076,0.01372411847114563
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,72,IN718_test_hr_y_block_188.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_188.npy,128,128,16384,0.006595451384782791,0.002638076664879918,0.015594491735100746
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,73,IN718_test_hr_y_block_189.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_189.npy,128,128,16384,0.007892431691288948,0.0020354825537651777,0.01372411847114563
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,74,IN718_test_hr_y_block_206.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_206.npy,128,128,16384,0.007306479383260012,0.0018559728050604463,0.01223631203174591
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,75,IN718_test_hr_y_block_224.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_224.npy,128,128,16384,0.007224532309919596,0.0020584992598742247,0.012275219894945621
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,76,IN718_test_hr_y_block_230.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_230.npy,128,128,16384,0.0076778484508395195,0.00225907564163208,0.012881766073405743
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,77,IN718_test_hr_y_block_251.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_251.npy,128,128,16384,0.007069860585033894,0.0021705678664147854,0.012657717801630497
IN718 (FCC),LUT lookup only (no refinement),/data/home/umang/Materials/Materials_data_mount/datasets/IN718,78,IN718_test_hr_y_block_267.npy,/data/home/umang/Materials/Materials_data_mount/datasets/IN718/Test/HR_Data/IN718_test_hr_y_block_267.npy,128,128,16384,0.006672365590929985,0.0026197524275630713,0.012992342002689838
